,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
45,Tyron Woodley,1,37%,0%,0,0,0,57 , 153,57 , 153,0 , 0,40 , 131,13 , 18,4 , 4,56 , 152,1 , 1,0 , 0,Demian Maia,0,31%,0%,0,0,0,28 , 89,29 , 90,0 , 21,23 , 83,2 , 3,3 , 3,26 , 87,2 , 2,0 , 0,5,00:05:00,5 Rnd (5-5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/30553d630491094a
46,Cris Cyborg,1,51%,0%,0,0,0,74 , 143,75 , 144,0 , 1,38 , 99,15 , 22,21 , 22,58 , 115,11 , 22,5 , 6,Tonya Evinger,0,37%,25%,0,0,0,32 , 85,34 , 87,1 , 4,13 , 54,9 , 17,10 , 14,28 , 78,4 , 7,0 , 0,3,00:01:56,5 Rnd (5-5-5-5-5),Mike Beltran,http://ufcstats.com/fight-details/79817ab0129c5598
47,Robbie Lawler,0,49%,0%,0,0,0,77 , 156,85 , 164,0 , 1,47 , 116,28 , 37,2 , 3,35 , 101,42 , 55,0 , 0,Donald Cerrone,0,49%,10%,0,2,0,82 , 166,99 , 185,1 , 10,50 , 127,26 , 32,6 , 7,56 , 125,25 , 40,1 , 1,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/b8c967c742d3c107
48,Jimi Manuwa,0,50%,0%,0,0,0,2 , 4,2 , 4,0 , 0,0 , 2,1 , 1,1 , 1,0 , 2,2 , 2,0 , 0,Volkan Oezdemir,0,63%,0%,0,0,0,12 , 19,13 , 20,0 , 0,10 , 17,1 , 1,1 , 1,3 , 7,8 , 9,1 , 3,1,00:00:42,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/49694c2d00c581ed
49,Ricardo Lamas,0,67%,100%,0,2,0,42 , 62,43 , 63,1 , 1,37 , 55,2 , 4,3 , 3,25 , 40,7 , 9,10 , 13,Jason Knight,0,22%,0%,0,0,0,8 , 35,18 , 45,0 , 1,7 , 33,1 , 1,0 , 1,5 , 26,2 , 7,1 , 2,1,00:04:34,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/dffad417175400ba
50,Aljamain Sterling,0,58%,100%,0,1,0,71 , 121,112 , 166,1 , 1,41 , 81,15 , 23,15 , 17,36 , 82,7 , 8,28 , 31,Renan Barao,0,22%,66%,0,3,0,19 , 85,65 , 138,2 , 3,10 , 65,6 , 13,3 , 7,9 , 70,2 , 2,8 , 13,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/ac9e19a4075f6557
51,Brian Ortega,0,29%,0%,1,0,0,65 , 220,65 , 220,0 , 2,49 , 198,14 , 19,2 , 3,64 , 217,1 , 3,0 , 0,Renato Moicano,0,43%,100%,0,0,0,109 , 252,111 , 254,2 , 2,91 , 229,8 , 13,10 , 10,109 , 252,0 , 0,0 , 0,3,00:02:59,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/4924d7a980f4cde2
52,Andre Fili,0,36%,0%,0,0,0,73 , 202,75 , 205,0 , 2,51 , 173,9 , 14,13 , 15,70 , 193,3 , 9,0 , 0,Calvin Kattar,0,46%,66%,0,0,0,75 , 160,80 , 166,2 , 3,55 , 137,8 , 10,12 , 13,66 , 143,1 , 5,8 , 12,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/3d95b4f94ccffa96
53,Kailin Curran,0,54%,33%,0,2,1,86 , 157,153 , 232,1 , 3,62 , 127,17 , 22,7 , 8,60 , 118,13 , 19,13 , 20,Alexandra Albu,0,45%,62%,0,2,0,82 , 181,109 , 221,5 , 8,60 , 150,20 , 29,2 , 2,47 , 138,20 , 25,15 , 18,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/e80a8338d86e730b
54,Eric Shelton,0,35%,50%,1,0,0,31 , 87,65 , 123,1 , 2,26 , 79,5 , 8,0 , 0,19 , 73,1 , 2,11 , 12,Jarred Brooks,0,33%,62%,1,1,0,27 , 80,32 , 87,5 , 8,15 , 66,7 , 9,5 , 5,20 , 72,2 , 3,5 , 5,3,00:05:00,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/4f4806952ba2a72c
